"","sid","cid","scale","interval","sinterval"
"1",1,1,0.81,15,18.5185185185185
"2",1,1,0.81,15,18.5185185185185
"3",1,1,0.81,15,18.5185185185185
"4",1,1,0.81,15,18.5185185185185
"5",1,1,0.81,15,18.5185185185185
"6",1,1,0.81,6,7.40740740740741
"7",1,2,0.89,5,5.61797752808989
"8",1,2,0.89,7,7.86516853932584
"9",1,2,0.89,9,10.1123595505618
"10",1,2,0.89,7,7.86516853932584
"11",1,2,0.89,20,22.4719101123595
"12",1,2,0.89,4,4.49438202247191
"13",1,2,0.89,11,12.3595505617978
"14",1,2,0.89,7,7.86516853932584
"15",1,3,0.78,16,20.5128205128205
"16",1,3,0.78,11,14.1025641025641
"17",1,3,0.78,18,23.0769230769231
"18",1,3,0.78,17,21.7948717948718
"19",1,3,0.78,7,8.97435897435897
"20",1,4,0.81,14,17.2839506172839
"21",1,4,0.81,28,34.5679012345679
"22",1,4,0.81,28,34.5679012345679
"23",1,5,0.8666666667,14,16.1538461532249
"24",1,5,0.8666666667,17,19.6153846146302
"25",1,5,0.8666666667,9,10.384615384216
"26",2,1,0.81,15,18.5185185185185
"27",2,1,0.81,15,18.5185185185185
"28",2,1,0.81,10,12.3456790123457
"29",2,1,0.81,9,11.1111111111111
"30",2,1,0.81,15,18.5185185185185
"31",2,2,0.89,11,12.3595505617978
"32",2,2,0.89,16,17.9775280898876
"33",2,2,0.89,15,16.8539325842697
"34",2,2,0.89,12,13.4831460674157
"35",2,2,0.89,9,10.1123595505618
"36",2,3,0.78,17,21.7948717948718
"37",2,3,0.78,17,21.7948717948718
"38",2,3,0.78,22,28.2051282051282
"39",2,3,0.78,21,26.9230769230769
"40",2,4,0.81,6,7.40740740740741
"41",2,4,0.81,11,13.5802469135802
"42",2,4,0.81,18,22.2222222222222
"43",2,4,0.81,22,27.1604938271605
"44",2,4,0.81,18,22.2222222222222
"45",2,4,0.81,7,8.64197530864197
"46",3,1,0.81,15,18.5185185185185
"47",3,1,0.81,15,18.5185185185185
"48",3,1,0.81,15,18.5185185185185
"49",3,1,0.81,15,18.5185185185185
"50",3,1,0.81,9,11.1111111111111
"51",3,2,0.89,15,16.8539325842697
"52",3,2,0.89,15,16.8539325842697
"53",3,2,0.89,10,11.2359550561798
"54",3,2,0.89,15,16.8539325842697
"55",3,2,0.89,15,16.8539325842697
"56",3,2,0.89,15,16.8539325842697
"57",3,2,0.89,12,13.4831460674157
"58",3,3,0.78,6,7.69230769230769
"59",3,3,0.78,16,20.5128205128205
"60",3,3,0.78,14,17.9487179487179
"61",3,3,0.78,11,14.1025641025641
"62",3,3,0.78,6,7.69230769230769
"63",3,3,0.78,4,5.12820512820513
"64",3,3,0.78,5,6.41025641025641
"65",3,4,0.81,13,16.0493827160494
"66",3,4,0.81,3,3.7037037037037
"67",3,4,0.81,19,23.4567901234568
"68",3,4,0.81,20,24.6913580246914
"69",3,4,0.81,9,11.1111111111111
"70",3,4,0.81,11,13.5802469135802
