SID,SITE,ROW,TREE,CORE,TDEPTH,BDEPTH,NOTE,NO3,PH,EC,Sand,Clay,Silt
26,PARA,15,10,1,0,15,NOTPIEZO,0.3,8.23,357.4,56.19431743,6.644939775,37.16074279
27,PARA,15,10,1,15,30,NOTPIEZO,1.4,8.03,197.8,58.04365039,7.389119545,34.56723006
28,PARA,15,10,1,30,40,NOTPIEZO,1.2,8.32,442.1,48.64299615,7.727300054,43.6297038
29,PARA,15,10,1,40,49,NOTPIEZO,1.0,8.26,489.6,57.18438136,5.846047184,36.96957146
30,PARA,15,10,1,49,64,NOTPIEZO,1.2,7.52,215.7,65.22958968,4.864385859,29.90602446
31,PARA,15,10,2,0,11,NOTPIEZO,5.1,8.06,439.2,25.0005194,2.748976318,72.25050428
32,PARA,15,10,2,11,27,NOTPIEZO,13.6,7.95,367.8,52.71233529,3.973181028,43.31448368
33,PARA,15,10,2,27,42,NOTPIEZO,20.0,8.07,376.6,26.22636926,10.91868407,62.85494667
34,PARA,15,10,2,42,54,NOTPIEZO,0.1,7.87,457.6,56.3905213,5.949558094,37.65992061
35,PARA,15,10,2,54,63,NOTPIEZO,0.3,7.74,292.7,84.40591767,4.095628612,11.49845372
36,PARA,15,10,3,0,17,NOTPIEZO,ND,8.22,285.7,62.72274559,5.207594674,32.06965973
37,PARA,15,10,3,17,34,NOTPIEZO,0.6,8.13,361.4,43.36869004,4.757768771,51.87354119
38,PARA,15,10,3,34,56,NOTPIEZO,4.0,8.39,203.9,75.62018203,0.81113704,23.56868093
39,PARA,15,10,3,56,77,NOTPIEZO,4.5,8.36,217.8,64.30873302,0.577756379,35.1135106
40,PARA,15,10,4,0,6,NOTPIEZO,2.5,7.84,235.8,45.07375765,19.98880679,34.93743556
41,PARA,15,10,4,6,17,NOTPIEZO,0.4,7.95,155,34.97621994,25.91283672,39.11094334
42,PARA,15,10,4,17,35,NOTPIEZO,0.4,7.94,99.32,64.10340093,6.08596547,29.8106336
43,PARA,15,10,4,35,57,NOTPIEZO,ND,8.09,39.31,81.27105431,2.449855524,16.27909016
44,PARA,15,10,4,57,75,NOTPIEZO,ND,8.1,53.52,69.21239124,4.873710185,25.91389858
45,PARA,15,10,4,75,82,NOTPIEZO,0.3,8.09,59.13,36.34737638,3.243914655,60.40870897

















































































































































































